protein,imputed,n,imputed_control,imputed_knockdown,average_expression,proportional_expression,foldchange,log2_foldchange,p_value,adj_p_value,normalization,abundance_control_1,abundance_control_2,abundance_control_3,abundance_knockdown_1,abundance_knockdown_2,abundance_knockdown_3,description,biological_process,cellular_component,molecular_function,gene_id_entrez,gene_name,wiki_pathway,reactome_pathway,gene_id_ensemble
Q5SVJ8,0.3333333333333333,6,0.6666666666666666,0,755886.14111328125,2.9259944407410473e-6,52.112573032503505,5.703559583769082,1,1,raw,32688.91796875,1257341.5,30010.521484375,NA,1703503.625,NA,BK channel OS=Homo sapiens OX=9606 GN=KCNMA1 PE=1 SV=2,conjugation,cytoplasm;cytoskeleton,catalytic activity,NA,KCNMA1,Splicing factor NOVA regulated synaptic proteins,NA,ENSG00000156113
Q15011,0,6,0,0,4919331.8125,1.9042467843551092e-5,48.62284101543182,5.6035622868786215,1,1,raw,142625.28125,NA,NA,6934846.375,4679589.53125,7920266.0625,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein OS=Homo sapiens OX=9606 GN=HERPUD1 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;coagulation;conjugation;development;metabolic process,cytoskeleton;extracellular;nucleus,structural molecule activity,9709,HERPUD1,VEGFA-VEGFR2 signaling pathway; Exercise-induced circadian regulation,ATF4 activates genes in response to endoplasmic reticulum  stress,ENSG00000051108
F6SA91,0.16666666666666666,6,0.3333333333333333,0,879217.87109375,3.4034049086169838e-6,39.64303290359079,5.308995435504322,1,1,raw,NA,43265.3671875,NA,NA,1715170.375,NA,TNF receptor-associated factor OS=Homo sapiens OX=9606 GN=TRAF4 PE=1 SV=1,development;metabolic process,cytosol;membrane,antioxidant activity;structural molecule activity,NA,TRAF4,Small cell lung cancer; p53 transcriptional gene network,NA,ENSG00000076604
Q9NXV2,0,6,0,0,3103100.40625,1.2011934131212043e-5,19.63113476730982,4.295071664321758,0.004166260710061297,0.6429522395902524,raw,250906.71875,223317.671875,1541568.640625,5743636.53125,4383979.3125,6475193.5625,BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens OX=9606 GN=KCTD5 PE=1 SV=1,cell growth;cell organization and biogenesis;cellular homeostasis,cytosol;membrane;nucleus,structural molecule activity,54442,KCTD5,NA,NA,ENSG00000167977
Q13751,0,6,0,0,1072517.087890625,4.151655740302085e-6,11.925955200028053,3.576032917273675,1,1,raw,NA,109616.0703125,NA,1307276.34375,1267339.625,1605836.3125,Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1,cell communication;cell growth;defense response;metabolic process,cell surface;chromosome,enzyme regulator activity;structural molecule activity,3914,LAMB3,Alpha 6 beta 4 signaling pathway; Focal adhesion; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Small cell lung cancer; Malignant pleural mesothelioma,Degradation of the extracellular matrix; Non-integrin membrane-ECM interactions; Laminin interactions; MET activates PTK2 signaling; Anchoring fibril formation; Type I hemidesmosome assembly,ENSG00000196878
O00308,0,6,0,0,733271.7421875,2.8384553234871175e-6,10.137466396525822,3.341625227120697,1,1,raw,175167.4296875,NA,187676.171875,NA,NA,1836971.625,NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Homo sapiens OX=9606 GN=WWP2 PE=1 SV=2,cell organization and biogenesis;cellular component movement;cellular homeostasis;conjugation;metabolic process,cytosol;membrane;nucleus,structural molecule activity,11060,WWP2,NA,RHOQ GTPase cycle; Regulation of PTEN stability and activity; RHOJ GTPase cycle; NOTCH3 Activation and Transmission of Signal to the Nucleus; RHOU GTPase cycle,ENSG00000198373
Q9BY50,0,6,0,0,2049680.1171875,7.934201068106747e-6,9.754702958926417,3.2860979419057035,1,1,raw,NA,NA,297960.6875,2906518,1700474.5625,3293767.21875,Signal peptidase complex catalytic subunit SEC11C OS=Homo sapiens OX=9606 GN=SEC11C PE=1 SV=3,cell organization and biogenesis;cellular homeostasis,cytoskeleton;extracellular,structural molecule activity,90701,SEC11C,NA,"SRP-dependent cotranslational protein targeting to membrane; Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1); Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP); Synthesis, secretion, and deacylation of Ghrelin",ENSG00000166562
Q8TBM8,0.3333333333333333,6,0.6666666666666666,0,3374207.1145833335,1.3061373561683168e-5,8.717821154586485,3.1239676072204983,0.004373588384430993,0.6429522395902524,raw,465368.15625,1666471.25,658408.34375,5739886.1875,4817677.9375,6897430.8125,DnaJ homolog subfamily B member 14 OS=Homo sapiens OX=9606 GN=DNAJB14 PE=1 SV=1,cell growth;cell organization and biogenesis;cellular homeostasis;coagulation;metabolic process,cytoskeleton;extracellular;membrane,structural molecule activity,79982,DNAJB14,NA,NA,ENSG00000164031
Q5JUW8,0,6,0,0,1745372.6223958333,6.756243185819272e-6,7.982569822410107,2.996853266900193,0.023211883046773425,0.6429522395902524,raw,668091.46875,169792.015625,415131.3125,3313814.6875,2151800.3125,3753605.9375,"Discs, large homolog 3 (Neuroendocrine-dlg, Drosophila), isoform CRA_b OS=Homo sapiens OX=9606 GN=DLG3 PE=1 SV=1",NA,NA,NA,NA,DLG3,NA,NA,ENSG00000082458
Q5T9L3,0.16666666666666666,6,0.3333333333333333,0,961925.59375,3.723562037496361e-6,7.9707989332363445,2.994724336417917,1,1,raw,NA,214457.0625,NA,NA,NA,1709394.125,Protein wntless homolog OS=Homo sapiens OX=9606 GN=WLS PE=1 SV=2,cell death;conjugation;defense response;development;metabolic process,cell surface;cytoplasm;cytoskeleton;cytosol;extracellular;mitochondrion;nucleus,structural molecule activity,79971,WLS,NA,WNT ligand biogenesis and trafficking,ENSG00000116729
